78309,0003,1544x1000,25
103291,0003,1544x1000,35
132888,0003,1544x1000,50
167091,0003,1544x1000,65
201318,0003,1544x1000,75
267337,0003,1544x1000,85
468536,0003,1544x1000,95
769980,0003,1544x1000,99
2068,0003,155x100,25
2490,0003,155x100,35
3054,0003,155x100,50
3744,0003,155x100,65
4499,0003,155x100,75
6089,0003,155x100,85
10539,0003,155x100,95
17199,0003,155x100,99
20451,0003,772x500,25
27222,0003,772x500,35
36613,0003,772x500,50
48643,0003,772x500,65
62131,0003,772x500,75
89901,0003,772x500,85
167912,0003,772x500,95
283791,0003,772x500,99
10334,0003,515x334,25
13338,0003,515x334,35
17592,0003,515x334,50
23444,0003,515x334,65
29952,0003,515x334,75
43894,0003,515x334,85
84596,0003,515x334,95
142505,0003,515x334,99
6798,0003,386x250,25
8762,0003,386x250,35
11448,0003,386x250,50
14829,0003,386x250,65
18589,0003,386x250,75
26757,0003,386x250,85
51156,0003,386x250,95
86121,0003,386x250,99
4844,0003,309x200,25
6166,0003,309x200,35
7963,0003,309x200,50
10205,0003,309x200,65
12646,0003,309x200,75
17894,0003,309x200,85
33784,0003,309x200,95
56745,0003,309x200,99
3844,0003,258x167,25
4789,0003,258x167,35
6095,0003,258x167,50
7775,0003,258x167,65
9568,0003,258x167,75
13468,0003,258x167,85
24866,0003,258x167,95
41555,0003,258x167,99
3114,0003,221x143,25
3850,0003,221x143,35
4801,0003,221x143,50
6108,0003,221x143,65
7456,0003,221x143,75
10357,0003,221x143,85
18834,0003,221x143,95
31184,0003,221x143,99
2679,0003,193x125,25
3228,0003,193x125,35
4056,0003,193x125,50
5088,0003,193x125,65
6204,0003,193x125,75
8490,0003,193x125,85
15170,0003,193x125,95
24907,0003,193x125,99
2273,0003,172x112,25
2743,0003,172x112,35
3376,0003,172x112,50
4222,0003,172x112,65
5107,0003,172x112,75
6926,0003,172x112,85
12271,0003,172x112,95
20072,0003,172x112,99
